Product,Comments ,Website,Label
Velvet Liquid Lipstick,"Amazing
Beautiful formula and shade, lasts all day long!!!",kylie cosmetics,positive
Velvet Liquid Lipstick,"love
Love the color! And, it does not dry out my lips!",kylie cosmetics,positive
Velvet Liquid Lipstick,"so smooth
I bought this over a month ago and it is my go to! So soft and creamy",kylie cosmetics,positive
Velvet Liquid Lipstick,"the best lip kit ever
I have purchased this shade of lip kit the color is very great",kylie cosmetics,positive
Velvet Liquid Lipstick,"best nude lipstick
Everyone loved the color on me and great stocking stuffer",kylie cosmetics,positive
Velvet Liquid Lipstick,"perfect lip moisturizer
The best lip moisturizer I have ever tried and beautiful packaging. Very thoughtfully designed and executed.",kylie cosmetics,positive
Velvet Liquid Lipstick,"smooth as silk application
True color! Loved I was able to virtual try on color swatch. Bought several. Want to wear them all at the same time!!",kylie cosmetics,positive
Velvet Liquid Lipstick,"beautiful
I love kylies velvet kits as opposed to her matte ones as you still get the longevity but they don’t dry your lips as much. Beautiful shade too. In love ??",kylie cosmetics,positive
Velvet Liquid Lipstick,"lip kits
I love Kylie’s lip kits. Great coverage and they feel good on your lips.",kylie cosmetics,positive
Velvet Liquid Lipstick,"velvet lip kit
My favorite Lip kit ?? I love how long lasting it is",kylie cosmetics,positive
Velvet Liquid Lipstick,"perfect nude color
The color bare is the perfect nude. It is my first time trying the velvet lipstick. I have many matte liquid lipsticks but I prefer this formula since it still looks matte but isn't as drying and doesn't leave the lips looking wrinkly.",kylie cosmetics,positive
Velvet Liquid Lipstick,"amazing kit ??
I got this for myself in 2023 April and I’ve still got it , lasts for so long and love the lip liners they sharpen so well

",kylie cosmetics,positive
Velvet Liquid Lipstick,"best lip liner
This lip kit is a perfect nude shade. The lip liner formula is super creamy and goes on so smooth.",kylie cosmetics,positive
Velvet Liquid Lipstick,"vibrant color
Its hard to find a VIBRANT PINK ?? especially when you are dark complexion. This was my first purchase and I'm HOOKED!!!",kylie cosmetics,positive
Velvet Liquid Lipstick,"perfect shade!
Love the feel, very smooth. Nude color was just right!",kylie cosmetics,positive
Velvet Liquid Lipstick,"velvet lip kit
Lip linear goes on lips so easy and smooth, lip kit is amazing!! Lasted so long and beautiful shade. Didn’t feel drying at all which was happy about",kylie cosmetics,positive
Velvet Liquid Lipstick,"soft and powerful
Absolutely recommend!! Color lasts and feels so soft!",kylie cosmetics,positive
Velvet Liquid Lipstick,"lip color that stands out
Beautiful color and smooth texture going on to the lips. Invent vibrate colors for woman of color.",kylie cosmetics,positive
Velvet Liquid Lipstick,"my favorite
I love this color my new favorite , is great looks so sexy I recommend it 100%",kylie cosmetics,positive
Velvet Liquid Lipstick,"amazing look
Great look and last all night! Velvet is wonderful and light on the lips",kylie cosmetics,positive
Velvet Liquid Lipstick,"love this lip kit!
LOVE this lip kit! All of Kylie’s lip products are great. They stay on even after you eat, and the pigments are so rich!",kylie cosmetics,positive
Velvet Liquid Lipstick,"love velvet lip kit
I absolutely love the lip kits! So many colors and smooth application... satisfied customer!!!",kylie cosmetics,positive
Velvet Liquid Lipstick,"it’s creamy formula that stays in place
I love this color it’s like a nude and pink color in one and the formula is soo good",kylie cosmetics,positive
Velvet Liquid Lipstick,"velvet lip kit
Live this lip kit. The velvet kit is not sticky but smooth and I love the color!",kylie cosmetics,positive
Velvet Liquid Lipstick,"color lasts all day
The only lip color I use because it lasts all day. Some of the colors last longer than others.",kylie cosmetics,positive
Velvet Liquid Lipstick,"5 stars
Love the lip kits, last me all day with little to no touch up.",kylie cosmetics,positive
Velvet Liquid Lipstick,"amazing!!!
Absolutely love this color! This product has changed my life! So smooth, not drying at all, and last all day!!! I love it!",kylie cosmetics,positive
Velvet Liquid Lipstick,"amazing!!
Obsessed with this formula, very creamy but matte at the same time. Bare is literally the best nude shade ever and this lip liner will be always in my heart. Very good combo. I love it!!",kylie cosmetics,positive
Velvet Liquid Lipstick,"smooth
Great quality. I purchased this lip stick over 5 times, it’s smooth, not heavy on the lips and last all day long",kylie cosmetics,positive
Velvet Liquid Lipstick,"beautiful shade of pink
This lip kit is not only the most beautiful shade of pink, but it lasts all day! I can't wait to buy more.",kylie cosmetics,positive
Velvet Liquid Lipstick,"daughter loved it
Super cute. We used in our Saran ball that we do every year at Thanksgiving. Big hit.",kylie cosmetics,positive
Velvet Liquid Lipstick,"love reds!
Always get compliments on all the red shades! Absolutely love red velvet!",kylie cosmetics,positive
Velvet Liquid Lipstick,"so many compliments!
I am not usually a red lip girly but this just makes my lips look muah! ?? there is a hint of pink (doesn’t look like it with the filter on my pic) but I love it! I am also a girl that loves packaging & names & I love that it’s called party girl! #feelingmyself",kylie cosmetics,positive
Velvet Liquid Lipstick,"matte
stays on and the lipliners are very smooth - thanks

",kylie cosmetics,positive
Velvet Liquid Lipstick,"love the color.
I enjoyed this product. It was very long lasting and easy to apply. I didn’t feel like it dried out my lips. I loved the shade of red as well, it was a nice shade and didn’t drain out my skin color.",kylie cosmetics,positive
Velvet Liquid Lipstick,"great shade!
Love this shade I have medium to light skin and it’s such a great color when going for a soft makeup look",kylie cosmetics,positive
Velvet Liquid Lipstick,"love the velvet!
Silky, smooth, and buttery . Love the finished look!",kylie cosmetics,positive
Velvet Liquid Lipstick,"love the bright pink lip color
I love the Lips set, the Liner, the color is so me, so I am so happy to purchase.",kylie cosmetics,positive
Velvet Liquid Lipstick,"velvet kylie lipkits
The Kylie lipkits last all day and feel amazing against my lips. The velvet lip kids feel so smooth on my lips, and don’t dry out my lips.",kylie cosmetics,positive
Velvet Liquid Lipstick,"i hate how much i liked this
I really did not go into this product with super high hopes. I was basically just expecting another gimmicky celebrity line, but was pleasantly surprised at how creamy and long lasting this lip kit duo is. The pencil glides on super smoothly, and the liquid lip is a perfect match. Long wear without drying out my lips, very wearable color - never thought I’d say this but this one is actually worth it!",kylie cosmetics,positive
Velvet Liquid Lipstick,"i love it!
I love this kit. The color is so pretty and goes with any makeup look. I love how the lipliner glides so easily! This formula is perfect for me because it is not so drying like most entirely matte lip products. I would recommend.",kylie cosmetics,positive
Velvet Liquid Lipstick,"rich and creamy
The KYLIE COSMETICS Matte Liquid Lipstick & Lip Liner duo is the perfect ready-to-go lip routine. Long-lasting 8-hour wear,Rich and creamy.I will definitely recommend this product",kylie cosmetics,positive
Velvet Liquid Lipstick,"great lipstick and liner!
I really like this lipstick and liner. Easy to use for a date night out. Seems to last a long time. I like the feel of it as it’s not sticky. I would definitely recommend.",kylie cosmetics,positive
Velvet Liquid Lipstick,"amazing color and long wearing
Obsessed!!! I absolutely love the lip kits!!!!!!!",kylie cosmetics,positive
Velvet Liquid Lipstick,"love! love! love!
Love this lipstick and liner. Liner goes on smooth and both stay on all day.",kylie cosmetics,positive
Velvet Liquid Lipstick,"smooth
I like how smooth and light feeling this is . Not sticky or thick and lasts a long time. Nice color, velvet lip kit is my favorite.",kylie cosmetics,positive
Velvet Liquid Lipstick,"beautiful color
Great color really bright and great feel against my lips",kylie cosmetics,positive
Velvet Liquid Lipstick,"longetivity
Great price point and lasts almost all night. Didnt have to touch up so frequently. Loved the matte finish. New formula is 10x better than original would recommend",kylie cosmetics,positive
Velvet Liquid Lipstick,"harmony velvet lip kit
I was skeptical mmmm at first but WOW!! I am impressed! This matte lip kit doesn’t only apply smoothly but it lasts through eating and drinking!",kylie cosmetics,positive
Velvet Liquid Lipstick,"stand out in a crowd
This product takes you from girl to woman in 60 secs… I’m sexy AF now",kylie cosmetics,positive
Velvet Liquid Lipstick,"lip kits.
Love all of the Matt lip kits. Get compliments all the time, long wearing and doesn’t come off on a glass.",kylie cosmetics,positive
Velvet Liquid Lipstick,"i’m hooked!!!
Love every lip product I’ve purchased. I always get compliments. Long lasting, non drying",kylie cosmetics,positive
Velvet Liquid Lipstick,"wonderful long lasting product
Long lasting - first purchase from Kylie and I love it",kylie cosmetics,positive
Velvet Liquid Lipstick,"color depiction is not accurate
I love this lipstick. A co-worker turned me on to it. I love everything except that the colors displayed online do not represent the actual colors. I have ordered 3 different colors attempting to find my shade. Unfortunately, the no returns or exchanges policy is causing me to not want to buy anymore. I can't afford to keep buying shades just to find out that the colors are all wrong.",kylie cosmetics,Negative 
Velvet Liquid Lipstick,"absolutely amazing
Can’t say enough good things about this duo. Works very well for me. The texture is also really good. Would definitely want to try more shades in this!",kylie cosmetics,positive
Velvet Liquid Lipstick,"Loved!
I absolutely loved this lip kit! I got the shade ""say no more"" which was absolutely stunning! I love pink! Thank you so much kylie cosmetics and influenster!! #complimentary",kylie cosmetics,positive
Velvet Liquid Lipstick,"lovely pigmentation
Beautiful pigment and long lasting! Just a little dab goes a long way.",kylie cosmetics,positive
Velvet Liquid Lipstick,"matte lip.
Matte velvet lip kit! I loved it so much it matched my skin tone. Very buttery. Use it on my everyday looks. I get so many compliments from friends & family",kylie cosmetics,positive
Velvet Liquid Lipstick,"loved it
This lip kit was amazing it was so easy to apply and the color was so pigmented! I would recommend you try it out for your self it really is worth having in my makeup collection",kylie cosmetics,positive
Velvet Liquid Lipstick,"amazing lip kit
I loved this lip kit. I’m not a very into lip products to be honest, I just put balms and that’s all. But I loved how buttery this felt and how easy the lip pencil glided on my lips. This color was perfect for me too and I’d definitely recommend!",kylie cosmetics,positive
Velvet Liquid Lipstick,"great formula
Formula is great!! Love both the pencil and gloss. Color is a little light for me as I have fair skin but I love the formula so much I sometimes use it along with another color layered on top. Very long lasting and feels hydrating.",kylie cosmetics,positive
Velvet Liquid Lipstick,"long lasting
Love this color and loved that it came with samples and the cutest stickers ",kylie cosmetics,positive
Velvet Liquid Lipstick,"great lip color
I get lots of compliments and this lip color lasts all day",kylie cosmetics,positive
Velvet Liquid Lipstick,"the perfect nude hands down
This is the perfect neutral nude. It’s not too mauve, peach, pink or brown. It’s not too pale to where your lips disappear either. It’s so beautiful on every skin tone

",kylie cosmetics,positive
Velvet Liquid Lipstick,"lips are fabulous
I love the color pencils I have two there fabulous! They go on smoothly I love the lip liners and wizard of lip gloss I love it all thank you. Kylie!!",kylie cosmetics,positive
Velvet Liquid Lipstick,"absolute hit 
Miss Kylie has got an absolute hit on her hands with this formula!!!! Not only is the color of this lip kit so universally flattering, but also the formula itself is SO COMFORTABLE. If you’re an OG Kylie lipkits follower, you know how her mattes can feel somewhat dry and emphasize lip lines - but not the velvet series. Now, this formula is far from transferproof but it does have good staying power (I didn’t feel like I had to reapply after eating). Honestly, I’d gladly buy more colors in this lip kit formula.",kylie cosmetics,positive
Velvet Liquid Lipstick,"love the creamy
love this demi matte cream wish there were more colors! Gives a color that has a matte appearance without the dry crusty sticky that comes with most matte lip colors.",kylie cosmetics,positive
Velvet Liquid Lipstick,"nice color
i love that i got to try out a color that was so popular & i never got a chance to get my hands on. the formula of her lipsticks are great. it’s the one product i consistently but from her. & this color is worth it",kylie cosmetics,positive
Velvet Liquid Lipstick,"velvet my fav
It’s amazing, first how it fits with ur lips it looks super cute!!! Top ",kylie cosmetics,positive
Velvet Liquid Lipstick,"i loved it
I like the bright red color and that it's also long-lasting, it's creamier than others, I recommend it and in case you suffer from dry lips I recommend that you use a moisturizer before using it.",kylie cosmetics,positive
Velvet Liquid Lipstick,"top a usual!
Super nice colour and lip pencil is extremely soft and precise.",kylie cosmetics,positive
Velvet Liquid Lipstick,"everyday perfect
Exact color as I was looking for. Perfect for everyday wear.",kylie cosmetics,positive
Velvet Liquid Lipstick,"wife happy!
Wifey really satisfied, says it stays long and strong !",kylie cosmetics,positive
Velvet Liquid Lipstick,"party girl kit
Nice item, shame about the service. supposed to get a free towel with this duplicate order..no show",kylie cosmetics,positive
Velvet Liquid Lipstick,"good diff formula!
Back when these released in like 2015 or 2016 I was so obsessed w the formula and really matte lips. After the last couple of years I haven’t really worn it much because it was too matte and dry on the lips. I feel like Kylie changed the formula and i’m back to really enjoying this lip product! The color Harmony was a bit too light for my liking but I will definitely purchase more colors w this new formula! :) highly recommend!!",kylie cosmetics,positive
Velvet Liquid Lipstick,"kylie cosmetics
Love this lip combo, I never owned a Kylie cosmetics product but this made me definitely want to try out more stuff from this brand. I’m a nude girl so the color I loved it",kylie cosmetics,positive
Velvet Liquid Lipstick,"very shocked!
Usually Kylie lip kits are very dry but this formula kept my lips smooth. The color is also so amazing and aren’t sheer at all! Definitely worth the try especially with if you’re used to the Matte lipsticks that dry your lips out.",kylie cosmetics,positive
Velvet Liquid Lipstick,"kylie cosmetics has come a long way
Excellent pigmentation and formula. Compared to a lip kit from years ago, much better. The color is beautiful and it feels comfortable to wear. As good as a lot of other prestige brands, I will have to buy another color or two",kylie cosmetics,positive
Velvet Liquid Lipstick,"smooooooooooth
It gives you that “soft” look while still being bright! I love how it applies and am excited to try other shades! 100% a must have in your makeup collection!",kylie cosmetics,positive
Velvet Liquid Lipstick,"i love this lip kit… and i was surprised !
I have never tried anything from Kylie other than one of her highlighters I got as a gift one year. I liked the highlighter but it wasn’t anything special or different from so many others. So I was just never interested in trying anything else from her line. I have to say I was so surprised when I tried this. I loved it right away. The liner is a slightly different shade from the lipstick but it looks so nice layered. I was really surprised how long the lipstick lasted because it’s not a true liquid lipstick that dries matte. I will definitely be getting some more colors and I highly recommend!",kylie cosmetics,positive
Velvet Liquid Lipstick,"awesome
Amazing! Love this! Both colors are absolutely beautiful.",kylie cosmetics,positive
Velvet Liquid Lipstick,"amazing!
Always wanted to try Kylie cosmetics lip products and finally got a chance. I love how creamy and long lasting the lipstick is. Very comfortable on the lips",kylie cosmetics,positive
Velvet Liquid Lipstick,"love it!
Very smooth not clumpy. Love the velvet line! Love the color!",kylie cosmetics,positive
Velvet Liquid Lipstick,"best combo ever!
I’m using it since I received it and I love it. It lasting all day long. Color is perfect for brown skin. I got lot of complements. Definitely recommend to others.",kylie cosmetics,positive
Velvet Liquid Lipstick,"i liked it!
I had fun trying out this lip kit by Kylie. The color was nice and lasted all day. The lip liner was easy to do and the liquid lip stick was great and applied easily. I was impressed how long it stayed on.",kylie cosmetics,positive
Velvet Liquid Lipstick,"perfect and smooth
I had the opportunity to tray the Kylie cosmetics lip kit .and i loved the red color that they send me we can combine with almost every outfit,and anther thing that i loved is the way esay we can apply. And the consistent is so so smooth.",kylie cosmetics,positive
Velvet Liquid Lipstick,"vibrant red
The lip liner pencil goes on smoothly and the lip stick is very pigmented a little bit can go a long way with that overall would recommend makes your lips look really nice.",kylie cosmetics,positive
Velvet Liquid Lipstick,"they hype is real!!
I loved this color and formula for sure! It was.not drying.to.the the velvet yet matte formula. Also thos color posie k, is a nice neutra pinkl color with a little pop. I would definitely recommend this product to everyone!",kylie cosmetics,positive
Velvet Liquid Lipstick,"long lasting and vibrant color!
It’s long lasting liquid lipstick although it does take a while to fully dry down the velvet formula leaves the lips feeling hydrated and not dry at all and the lip liner applies so smooth and effortlessly also long lasting.",kylie cosmetics,positive
Velvet Liquid Lipstick,"so velvety!
I have used Kylie Jenner’s lipsticks before. It was as usual amazing- Super velvety and pigmented. Little goes a long way.",kylie cosmetics,positive
Velvet Liquid Lipstick,"favorite lipstick
(I’m on the right in the picture) I absolutely adore this lipstick. it’s my go to every single day. Normally instead of using a bunch of product for a bold red lip, i’ll apply very little and then blend it out for a subtle red look! Amazing consistency, i love this formula!",kylie cosmetics,positive
Velvet Liquid Lipstick,"amazing!!
This is the first lip product I’ve been absolutely obsessed with. It goes on and stays on so nicely. I would definitely recommend",kylie cosmetics,positive
Velvet Liquid Lipstick,"works with natural and full face
I didn’t expect to love this one so much, it became my staple and it’s always on me no matter where I’m headed or what I’m wearing",kylie cosmetics,positive
Velvet Liquid Lipstick,"lovely
Loved the shade on me and i have a tanned skin tone and it looks very dusty on me like I havent showered in months. Other than that Its a good shade",kylie cosmetics,positive
Velvet Liquid Lipstick,"great nude lip
I love the liner in this duo and how the pair look together. I’m not usually a big fan of liquid lipsticks that lean towards the matte side but this looked good with the liner and after letting it set, looked good under gloss too!",kylie cosmetics,positive
Velvet Liquid Lipstick,"velvet kylie
The formula is very comfortable on the lips. The color is pigmented and a beautiful red shade.? Can be worn as a little dab of color or as a full liquid lipstick.",kylie cosmetics,positive
Velvet Liquid Lipstick,"buttery soft lip kit 
I typically never wear lip liners but this was super easy to use. The liner was so creamy and glided smoothly, making the application processes be extremely easy. The liquid lipstick was also creamy and soft. I was expecting for the lipstick to dry out my lips but it didn't at all! I loved how the combo lasted throughout the day. If anything I only had to make one minor touch up. I high recommend anyone to try this! Plus the scent smells so yummy and sweet!",kylie cosmetics,positive
Velvet Liquid Lipstick,"super soft on the lips
Liked this formula wayyy better than her original liquid lipstick formula. All though it dries the same way it doesn’t leave my lips cracked and the application looks super smooth.",kylie cosmetics,positive
Velvet Liquid Lipstick,"perfect for valentine's day!
I loved this combo. Perfect textures on both the lip liner and the liquid. I loved the staying power as well. This was great for a night out for dinner and drinks with the ladies but would be great for a date as well. Especially great color for Valentine's day! ",kylie cosmetics,positive
Velvet Liquid Lipstick,"velvet
One of the things I like the most about Kylie cosmetics is the presentation of their products, everything is beautiful. I loved the quality of this lip combo. the color is beautiful. the texture is very good, and the color lasts a long time on your lips",kylie cosmetics,positive
Velvet Liquid Lipstick,"nice set
Nice colour, very similar to the one on the site. The lip pen writes very well. I will buy another set.",kylie cosmetics,positive
Velvet Liquid Lipstick,"beautiful color
I received this product for free in exchange for my honest review from Influenster and Kylie Cosmetics. At first when I tried on i wasn’t wearing makeup and my lips looked pale. I wasn’t too sure if I liked it because the color is more on the pink side and I use a bit darker color since my skin complex is darker. Got ready and tried it on and I love it. My sister told me this color looks nice too. It does lasts hours so I’m very happy and I will sure buy another color other than this",kylie cosmetics,positive
Velvet Liquid Lipstick,"The perfect formula
This was my first time trying Kylie Cosmetics, and her lip kit did not disappoint. As the product description says, the formula is highly pigmented and glides on effortlessly. This liquid demi-matte lipstick is truly the first of its kind. It has a non-drying texture which makes it incredibly comfortable to wear. It also has a subtle scrumptious vanilla scent. Of course with all of these great features, the kit retails at $32, which is on the higher end for lip kits.",kylie cosmetics,positive
Velvet Liquid Lipstick,"love it
I was a little hesitant as if I would like this color and formula, but I actually loved it! It was so smooth & the color was perfect. I received a lot of compliments and the color lasted pretty much all day long. I will buy another one for sure! This item is incentivized complimentary in exchange for review.",kylie cosmetics,positive
Velvet Liquid Lipstick,"best red lip kit in the world
This is the best red lip kit color in the entire makeup industry. The pigmentation is incredible and the duration too. There is nothing I don't like about it. I use it every time I have the opportunity and I recommend it 100%",kylie cosmetics,positive
Velvet Liquid Lipstick,"lip kit
It's a love and Hate with this product, I think it's a beautiful Color long lasting but I'm not big on how much it transfers on everything but regardless great product",kylie cosmetics,positive
Velvet Liquid Lipstick,"love the formula
I love this formula so much better than the matte! The matte would dry out my lips but this one does not and it stays on forever. I’m switching to velvet instead of matte! And I love the bold red color, it fits so well with my dark skin tone",kylie cosmetics,positive
Velvet Liquid Lipstick,"loved it!!
Loved this product. I always wanted to try it but I had never bought it and now thanks to influenster I found my favorite lip kit. It lasts all day on the lips, it's comfortable and the color I got was beautiful. I love and recommend this product!",kylie cosmetics,positive
Velvet Liquid Lipstick,"pretty
This is a pretty lipstick and goes on smoothly. Doesn't feel too drying. It's a little pink for my personal taste but still looks nice, I think. I will almost definitely use it on occasion.",kylie cosmetics,positive
Velvet Liquid Lipstick,"great duo
The Kylie Cosmetics Velvet Lip Kit is a great duo of liquid lipstick and lip liner. I loved the color, Posie K, which has a nice dusty rose pink color. The liner applies smoothly and evenly. The liquid lipstick also goes on smooth and then dries into a nice matte finish, lasting well.",kylie cosmetics,positive
Velvet Liquid Lipstick,"bold lip
Wasn't sure if I would like the bright barbie color, but I actually do. It's a fun shade even compared to my fair complexion. Smooth to apply and I only needed one coat. Dried quickly but doesn't dry out your lips. Long lasting, it was several hours before I had to reapply (mind you that's with eating and drinking in that time).",kylie cosmetics,positive
Velvet Liquid Lipstick,"love
I’ve been trying this product for a few weeks and I really love it. I love the color not very out there and I really like the semi-matte application. It feels really smooth on my lips and being sort of Matte effect it does not dry up my lips",kylie cosmetics,positive
Velvet Liquid Lipstick,"say no more
I can’t say I love the color, but the quality is exemplary. Durable, it stays on! Wish it was of every day/event color. Smooth application.",kylie cosmetics,netural
Velvet Liquid Lipstick,"beautiful and comfortable!
I used to be obsessed with Kylie lip kits when I was young. It has been a while since I last tried a Kylie lip kit. It’s my first time trying a velvet lip kit, and I really enjoyed it. Matching lip pencil makes everything so much easier. This product is very comfortable on the lips because it is velvet. I have nothing bad to say about it because I love velvet lipsticks and glosses more than a Matte lip especially in the winter time. Give these a try and you won’t regret it!",kylie cosmetics,positive
Velvet Liquid Lipstick,"best cheer competition red lips!
We love the red velvet lip kit and recommend it to our entire team and other cheerleaders! It goes on smooth, stays on through competitions and awards and looks amazing on stage! Simply the best red out there!",kylie cosmetics,positive
Velvet Liquid Lipstick,"i actually really loved this lipstick formula! eve
Even though I’ve never tried lipstick formula I’m already obsessed !Surprise surprise! It’s very long lasting and dint dry my lips at all!! I’m thinking about getting a nude color lipstick in liquid form. Love this stuff already! And definitely would recommend it to my girlfriends! Definitely don’t sleep on her lipsticks as they are actually really good for what you are paying! P.S the lip pencil didn’t even budge when I apply it in the morning",kylie cosmetics,positive
Velvet Liquid Lipstick,"Beautiful color that lasts.
I was honestly surprised by how pretty the color was! It's highly pigmented and feels very soft on your lips. So far, I've had it last a few hours without touchups.",kylie cosmetics,positive
Velvet Liquid Lipstick,"posit k velvet
I really liked the formula of this lippie , very comfortable and pigmented . It lasted long too I really like this formula of hers !",kylie cosmetics,positive
Velvet Liquid Lipstick,"a kylie lip kit never fails!
You can always rely on your Kylie lip kit to get you through any event- no matter the duration! It stays ON. I wouldn’t say I am in love with this color, but for the right event, it can be fun! I opted to use this color on New Year’s Eve for a fun pop!",kylie cosmetics,positive
Velvet Liquid Lipstick,"perfect for valentines 
Is was very creamy to apply with the lip liner only not so easy to clean when sharpening it ! And the velvet lipstick was very hydrated for my lips and gave me a beautiful old Hollywood look I definitely will be using it often since the red is my fav color",kylie cosmetics,positive
Velvet Liquid Lipstick,"great nude that enhances lips
This product really does what it claims, enhances lip size with the two products. It’s a matte product, so just make sure you moisturize your lips prior to use for best results.",kylie cosmetics,positive
Velvet Liquid Lipstick,"kylie cosmetics are back
I honestly haven’t even seen a Kylie lip product since high school so I was really excited to receive this product and see how their products have evolved. I was pleasantly surprised with the high quality and smooth application!",kylie cosmetics,positive
Velvet Liquid Lipstick,"loved the formula !!
The shade is too light for my skin tone which definitely surprised me, I thought it would be darker looking at the tube. Anyway, the formula is heavenly! No drying out or transferring and it’s perfectly pigmented. I’ll be trying different shades soon !!",kylie cosmetics,positive
Velvet Liquid Lipstick,"so pretty
I’m glad I got this shade. It’s so cute & pretty! The lip liner glides on so easily and the velvet lip feels nice. This is also my first time trying Kylie cosmetics. I’m a fan now.",kylie cosmetics,positive
Velvet Liquid Lipstick,"love it
fascinated with these lipsticks, my lips feel super soft!! The smell is rich, it does not feel heavy in the mouth! I really loved it",kylie cosmetics,positive
Velvet Liquid Lipstick,"love it!!!!
really impressed with the lipsticks! I love the aroma and the pencil is too creamy! my lips look great",kylie cosmetics,positive
Velvet Liquid Lipstick,"great product
Looks really nice and feels nice and creamy on lips. So pleased!",kylie cosmetics,positive
Velvet Liquid Lipstick,"posie k
Loveee this color! I always wanted to try it out but never got the chance to until now. Thank you influenster! Definitely worth the hype! It lasts long and not drying.",kylie cosmetics,positive
Velvet Liquid Lipstick,"love this lip kit
This is my first time trying out a Kylie lip kit and it was a great experience! The lip liner blends well with the lipstick and it looks great. It is also long lasting and easy to blend. Once it dries it stays on the lips for hours. It also feels velvety and comfortable on the lips.",kylie cosmetics,positive
Velvet Liquid Lipstick,"soft matte
Smells like buttercream, pigmented, and a soft matte finish. I really love this and I didn’t think I would. It has a beautiful finish that looks good even with dry lips in the winter. It’s not transfer proof, but it does last a long time. It wears down gracefully and doesn’t just disappear when you eat something. Feels good on the lips too. I recommend this if you see a color you like! I like the lip pencil a little more than the cream because the pencil is even more matte than the cream, but together it’s a winner!",kylie cosmetics,positive
Velvet Liquid Lipstick,"kylie for the win!
Absolutely adored this color and lip kit. This is the bare velvet. Such a perfect nude color with just enough tint of color. It is not permanent and does wipe off with normal wear but I only have to reapply maybe 2-3x a day. Love this kit so so much! Thank you for the opportunity to try!",kylie cosmetics,positive
Velvet Liquid Lipstick,"posie k color - must have
This lipstick set is beautiful. Nice packaging. The lip liner is so smooth and soft. The liquid lipstick color is great too but after awhile it feel a bit dry. Remember to exfoliate and hydrate your lips before applying liquid lipsticks. Thank you so much Kylie Cosmetic & Influenster ",kylie cosmetics,positive
Velvet Liquid Lipstick,"harmony
Harmony is a nice shade a pink that I really like. The lip liner was smooth to put on and easy to apply! I like how the lip gloss was glossy when applying then became a nice matte color when dried!",kylie cosmetics,positive
Velvet Liquid Lipstick,"love it
i never tried Kylie cosmetics before and i know understand why it is so good and everyone is talking how soft and great it is. I am loving this color and would possibly use it every few days to look great with light makeup on",kylie cosmetics,positive
